data,hora,taxa
2022/07/26,14:43:29,12.651537623165694
2022/07/26,14:43:32,12.885974367396816
2022/07/26,14:43:34,12.830436335945654
2022/07/26,14:43:36,13.541672318666265
2022/07/26,14:43:38,12.875574582418858
2022/07/26,14:43:41,13.106258222696173
2022/07/26,14:43:43,12.960161265134927
2022/07/26,14:43:45,13.548120251225129
2022/07/26,14:43:47,13.601099935730403
2022/07/26,14:43:50,13.334760024938443
2022/07/26,14:57:52,12.900018600224069
2022/07/26,14:57:54,13.045161960469473
2022/07/26,14:57:56,13.295581080503814
2022/07/26,14:57:58,13.361630919977214
2022/07/26,14:58:01,13.181635795245652
2022/07/26,14:58:03,13.196701500176523
2022/07/26,14:58:05,13.294134731860616
2022/07/26,14:58:07,13.485359966878558
2022/07/26,14:58:09,13.60172871785805
2022/07/26,14:58:12,13.17800537920011
2022/07/26,15:04:29,13.302836291603267
2022/07/26,15:04:32,13.485876668817308
2022/07/26,15:04:34,12.825812963715139
2022/07/26,15:04:36,12.979269141649132
2022/07/26,15:04:38,13.015769179849922
2022/07/26,15:04:39,13.36397559998194
2022/07/26,15:04:41,12.759305758302052
2022/07/26,15:04:43,13.362472427316069
2022/07/26,15:04:45,12.913734830821378
2022/07/26,15:04:48,13.531734967459625
2022/07/26,15:05:32,12.96183732399507
2022/07/26,15:05:35,13.143743865232029
2022/07/26,15:05:37,13.326675921756165
2022/07/26,15:05:40,12.89292730781974
2022/07/26,15:05:42,12.77298200539007
2022/07/26,15:05:44,13.592812825859456
2022/07/26,15:05:47,13.066664257851405
2022/07/26,15:05:49,13.368729643599107
2022/07/26,15:05:51,13.280716501415656
2022/07/26,15:05:53,13.61743203802949
